method,points,samples,sample_src,accuracy,completeness,occupied_voxels,mean_raw_g,mean_gc,mean_gs
fuxian,908420,4000,cloud,0.295004,0.872465,77734,314.572263,3.105654,119.023972
bc,1497767,4000,cloud,0.613409,0.738532,65801,654.098749,2.811815,264.674053
cwc,1404194,4000,cloud,0.537980,0.736927,65658,573.666248,2.715565,248.957973
