method,points,samples,sample_src,accuracy,completeness,occupied_voxels,mean_raw_g,mean_gc,mean_gs
fuxian,908685,4000,cloud,0.305455,0.859651,73783,279.370637,3.412261,89.198130
bc,838929,4000,cloud,0.305384,0.803843,68993,279.305881,3.274928,102.173387
cwc,811764,4000,cloud,0.287199,0.808503,69393,262.673508,3.439461,83.645653
